iter	MultiClass
0	1.249236914
1	1.119268437
2	1.023547527
3	0.9432734533
4	0.8813001346
5	0.8307373308
6	0.7865782396
7	0.7447560482
8	0.7121668281
9	0.6841459485
10	0.6582916629
11	0.6364740489
12	0.6144431357
13	0.5971985695
14	0.5782473725
15	0.5586979618
16	0.5431300579
17	0.5299497704
18	0.51966901
19	0.5076895817
20	0.4957667378
21	0.4855455341
22	0.4721316048
23	0.4630056635
24	0.4551710517
25	0.4476627341
26	0.4403252455
27	0.4340548602
28	0.4290443994
29	0.4182553815
30	0.4066126975
31	0.396864561
32	0.3931168506
33	0.3889823182
34	0.3828324526
35	0.3780688315
36	0.3742606594
37	0.371180639
38	0.3690116587
39	0.3679181093
40	0.3612528446
41	0.3589149827
42	0.3545954413
43	0.3498895287
44	0.3434743458
45	0.3386151258
46	0.3348469193
47	0.3314806969
48	0.3286502447
49	0.3238807037
50	0.321416857
51	0.3181083778
52	0.315100102
53	0.3114124757
54	0.3093630111
55	0.3075739248
56	0.306215358
57	0.3036047842
58	0.3005342818
59	0.298770591
60	0.2957984195
61	0.2918828024
62	0.2903906185
63	0.2885266794
64	0.2869460657
65	0.2862514923
66	0.2848767816
67	0.2822693669
68	0.2809768231
69	0.2801694827
70	0.2786384175
71	0.2761483177
72	0.272996638
73	0.2719940115
74	0.269072739
75	0.2678001145
76	0.2664458191
77	0.2645259515
78	0.2630620426
79	0.2607649137
80	0.2587590822
81	0.2567902381
82	0.2563503224
83	0.2549425927
84	0.2539167659
85	0.253240346
86	0.2511188751
87	0.2486458836
88	0.2469418355
89	0.2444389632
90	0.2414100547
91	0.2408840079
92	0.2389305682
93	0.2384096217
94	0.2373455829
95	0.2363238278
96	0.2354425427
97	0.2344731794
98	0.233419574
99	0.2315034926
100	0.2308330379
101	0.22934602
102	0.2279631269
103	0.2263956468
104	0.2256033734
105	0.2247054435
106	0.2233754466
107	0.2221136353
108	0.2204946675
109	0.2181405373
110	0.2172537341
111	0.2155142325
112	0.2148943386
113	0.2141312397
114	0.2120501719
115	0.2102350122
116	0.2098104776
117	0.2077571233
118	0.2062145919
119	0.2047075811
120	0.2030251646
121	0.2018284627
122	0.2008591838
123	0.2002595518
124	0.1997171985
125	0.1987332757
126	0.1975382934
127	0.1969070134
128	0.195160866
129	0.1940574123
130	0.1926355567
131	0.1920661743
132	0.1911685938
133	0.1899306437
134	0.1892922591
135	0.188448247
136	0.1877289698
137	0.1871738177
138	0.1865234186
139	0.1859334465
140	0.1846727005
141	0.1841388711
142	0.1836162974
143	0.1828627491
144	0.1818215749
145	0.1810945545
146	0.1800957153
147	0.1795932692
148	0.1789509004
149	0.1780805933
150	0.1776844409
151	0.1770417515
152	0.1764396754
153	0.175807951
154	0.1745572434
155	0.1741722194
156	0.1732985581
157	0.1729973124
158	0.1723690278
159	0.1721817395
160	0.1711735371
161	0.170853862
162	0.1698285763
163	0.169175069
164	0.1683950809
165	0.1678973772
166	0.167471171
167	0.167032384
168	0.1665894794
169	0.1659207357
170	0.1653591358
171	0.1650409477
172	0.1646765814
173	0.1640154887
174	0.1636397959
175	0.1629597984
176	0.1620997586
177	0.161642018
178	0.1614885825
179	0.1611832456
180	0.1608809219
181	0.1600700164
182	0.1593235499
183	0.1590192003
184	0.1586601701
185	0.1576820657
186	0.1570819265
187	0.1565114636
188	0.1560060779
189	0.1553522535
190	0.1549055575
191	0.1543989341
192	0.1542336928
193	0.1537654629
194	0.1534517173
195	0.1531417179
196	0.1528172851
197	0.1523153415
198	0.1518595225
199	0.1511875045
