iter	Passed	Remaining
0	46	9259
1	92	9174
2	138	9065
3	181	8875
4	225	8808
5	263	8509
6	304	8406
7	353	8475
8	400	8503
9	449	8531
10	511	8796
11	558	8752
12	604	8702
13	652	8674
14	699	8631
15	748	8605
16	794	8548
17	842	8516
18	891	8494
19	940	8466
20	987	8420
21	1036	8389
22	1085	8352
23	1137	8342
24	1187	8309
25	1234	8261
26	1279	8198
27	1326	8149
28	1384	8164
29	1442	8173
30	1486	8101
31	1537	8070
32	1579	7994
33	1624	7929
34	1685	7945
35	1733	7897
36	1783	7856
37	1831	7806
38	1882	7772
39	1936	7745
40	1984	7696
41	2033	7648
42	2082	7602
43	2133	7565
44	2183	7519
45	2230	7466
46	2285	7439
47	2337	7401
48	2386	7355
49	2436	7310
50	2490	7277
51	2540	7230
52	2594	7195
53	2638	7134
54	2688	7087
55	2740	7046
56	2789	6999
57	2837	6946
58	2890	6907
59	2939	6859
60	2988	6810
61	3034	6753
62	3082	6703
63	3130	6653
64	3182	6610
65	3231	6560
66	3286	6524
67	3342	6487
68	3393	6441
69	3443	6394
70	3490	6341
71	3540	6294
72	3586	6238
73	3625	6173
74	3672	6121
75	3712	6057
76	3761	6007
77	3802	5947
78	3840	5881
79	3883	5825
80	3924	5765
81	3970	5713
82	4020	5666
83	4063	5611
84	4109	5559
85	4152	5504
86	4197	5452
87	4244	5401
88	4287	5346
89	4329	5292
90	4375	5240
91	4425	5194
92	4469	5142
93	4514	5090
94	4566	5047
95	4609	4993
96	4652	4940
97	4695	4887
98	4739	4834
99	4784	4784
100	4827	4732
101	4870	4679
102	4912	4626
103	4959	4578
104	5007	4530
105	5052	4480
106	5097	4430
107	5139	4378
108	5186	4330
109	5234	4283
110	5280	4234
111	5337	4193
112	5381	4143
113	5428	4095
114	5478	4049
115	5529	4004
116	5575	3955
117	5638	3918
118	5688	3871
119	5735	3823
120	5782	3775
121	5822	3722
122	5868	3673
123	5914	3624
124	5958	3575
125	6003	3526
126	6048	3476
127	6092	3426
128	6141	3380
129	6186	3331
130	6233	3283
131	6273	3231
132	6319	3183
133	6367	3136
134	6410	3086
135	6457	3038
136	6501	2989
137	6549	2942
138	6594	2893
139	6640	2845
140	6683	2796
141	6727	2747
142	6771	2699
143	6817	2651
144	6867	2604
145	6918	2558
146	6968	2512
147	7019	2466
148	7066	2418
149	7113	2371
150	7158	2322
151	7204	2275
152	7253	2228
153	7299	2180
154	7348	2133
155	7396	2086
156	7441	2038
157	7489	1990
158	7535	1943
159	7578	1894
160	7620	1845
161	7665	1798
162	7710	1750
163	7755	1702
164	7801	1654
165	7844	1606
166	7889	1558
167	7932	1510
168	7980	1463
169	8026	1416
170	8069	1368
171	8116	1321
172	8160	1273
173	8211	1226
174	8260	1180
175	8303	1132
176	8350	1085
177	8397	1037
178	8443	990
179	8490	943
180	8539	896
181	8587	849
182	8633	801
183	8677	754
184	8721	707
185	8763	659
186	8807	612
187	8847	564
188	8895	517
189	8937	470
190	8980	423
191	9023	375
192	9068	328
193	9119	282
194	9161	234
195	9209	187
196	9262	141
197	9313	94
198	9361	47
199	9407	0
